i9_health,i1_health,i2_health,i7a_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_11,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,weight,age,household_size,household_children,employment_status,gender_Female,gender_Male
1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,1.0,1.0,4.0,5.0,10.0,0.9925313579999999,37.0,1.0,1.0,1.0,0.0,1.0
1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,1.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,14.0,1.012842322,29.0,0.0,1.0,1.0,0.0,1.0
1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,2.0,4.0,5.0,6.0,1.028215699,32.0,0.0,1.0,1.0,1.0,0.0
1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,2.0,4.0,5.0,4.0,6.0,1.028215699,25.0,0.0,0.0,1.0,1.0,0.0
0.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,4.0,1.0,5.0,5.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,9.0,1.036955327,27.0,1.0,1.0,1.0,0.0,1.0
1.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,5.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,1.0,4.0,5.0,10.0,0.9897840840000001,47.0,0.0,0.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0,8.0,1.012270732,69.0,0.0,0.0,0.0,0.0,1.0
1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,1.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,3.0,3.0,4.0,0.993312877,37.0,1.0,1.0,1.0,1.0,0.0
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,3.0,5.0,5.0,0.989491771,66.0,1.0,0.0,0.0,1.0,0.0
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,1.0,5.0,5.0,1.0,4.0,4.0,5.0,10.0,0.98297909,51.0,0.0,0.0,1.0,1.0,0.0
